,ASIANPAINT,EICHERMOT,HEROMOTOCO,TATAMOTORS,APOLLOHOSP,SBIN,M&M,BEL,JSWSTEEL,ICICIBANK,INDUSINDBK,ONGC,BAJAJ-AUTO,BRITANNIA,NESTLEIND,HINDALCO,RELIANCE,TRENT,TATASTEEL,DRREDDY,SHRIRAMFIN,KOTAKBANK,HDFCBANK,AXISBANK,NTPC,TECHM,SBILIFE,CIPLA,GRASIM,HINDUNILVR,LT,TATACONSUM,WIPRO,TITAN,BPCL,INFY,SUNPHARMA,TCS,MARUTI,HCLTECH,COALINDIA,ULTRACEMCO,GOLDIETF
0,2498.4,5689.0,4331.9,692.25,7485.0,811.65,3176.5,418.55,1035.5,1432.1,850.2,244.0,8363.5,5848.0,2433.4,674.15,1549.4,5424.5,158.03,1271.9,681.65,2221.0,2012.6,1167.1,344.85,1617.0,1813.9,1493.8,2805.6,2432.2,3580.0,1100.5,266.85,3442.9,351.4,1629.6,1676.0,3374.4,12468.0,1676.7,385.8,12476.0,82.76
0,2497.1,5688.0,4332.0,692.3,7480.0,811.45,3175.3,418.5,1035.0,1432.0,849.9,244.02,8362.5,5847.0,2432.9,674.0,1549.4,5424.0,158.03,1271.7,681.5,2220.2,2012.2,1167.0,345.15,1616.7,1813.3,1493.4,2804.8,2432.0,3580.0,1100.0,266.85,3441.2,351.45,1630.0,1675.8,3374.5,12465.0,1676.3,385.8,12474.0,82.74
0,2497.2,5685.5,4330.7,692.3,7480.0,811.25,3175.1,418.5,1034.4,1432.1,849.9,244.06,8361.0,5845.5,2432.0,673.55,1549.0,5423.0,157.99,1271.4,681.1,2220.3,2012.1,1167.0,345.1,1616.8,1811.7,1493.4,2803.6,2432.0,3580.4,1100.0,266.75,3442.1,351.4,1629.4,1675.5,3376.2,12466.0,1676.2,385.85,12470.0,82.74
0,2497.1,5685.0,4331.2,692.3,7482.0,811.2,3176.0,418.4,1034.7,1432.0,850.05,244.02,8363.0,5847.0,2432.3,674.0,1549.3,5424.5,157.97,1271.8,681.05,2219.8,2012.0,1167.1,345.0,1616.9,1811.6,1493.4,2804.0,2432.0,3579.3,1100.3,266.85,3442.6,351.4,1629.9,1675.2,3376.2,12466.0,1676.2,385.9,12473.0,82.74
0,2497.6,5686.5,4331.0,692.25,7479.0,811.4,3176.0,418.35,1034.5,1432.1,849.95,244.08,8362.5,5846.0,2432.7,673.85,1549.5,5422.0,158.04,1271.8,681.05,2219.9,2012.1,1167.1,345.1,1616.7,1813.0,1493.7,2805.7,2432.0,3579.0,1100.5,266.85,3442.4,351.65,1629.5,1675.4,3376.0,12468.0,1676.8,385.9,12473.0,82.74
0,2497.6,5687.0,4331.2,692.3,7480.5,811.25,3176.0,418.4,1035.1,1432.0,850.3,244.02,8363.0,5845.0,2432.7,674.15,1549.5,5422.0,158.02,1271.8,681.0,2219.9,2012.5,1167.2,345.15,1616.5,1812.4,1493.6,2804.0,2432.1,3580.0,1100.5,266.9,3442.1,351.55,1629.7,1675.5,3376.8,12464.0,1677.0,385.85,12470.0,82.74
0,2497.7,5688.0,4331.1,692.25,7478.0,811.2,3176.0,418.4,1034.9,1432.1,850.3,244.07,8362.5,5843.5,2432.7,674.1,1549.3,5422.0,158.03,1271.7,680.85,2219.7,2012.1,1167.2,345.15,1616.3,1812.4,1493.4,2804.7,2432.0,3580.0,1100.5,266.85,3442.6,351.55,1629.8,1676.0,3377.9,12460.0,1677.0,385.85,12474.0,82.75
0,2496.5,5687.0,4331.5,692.25,7480.0,811.25,3176.2,418.4,1034.8,1432.1,850.3,244.01,8362.5,5844.0,2432.7,674.3,1549.2,5421.0,158.03,1271.7,680.95,2220.2,2012.3,1167.1,345.15,1616.5,1813.3,1494.5,2803.9,2432.1,3580.0,1100.5,266.85,3442.8,351.55,1630.1,1675.5,3377.0,12464.0,1677.0,385.95,12474.0,82.75
0,2497.3,5688.0,4331.1,692.3,7481.5,811.4,3176.2,418.35,1034.8,1432.1,850.15,244.13,8362.5,5845.5,2433.0,674.15,1549.4,5421.0,158.06,1271.6,680.8,2220.0,2012.2,1167.1,345.05,1616.2,1812.6,1493.0,2805.0,2432.1,3579.6,1100.0,266.85,3442.9,351.45,1630.2,1675.6,3377.5,12460.0,1676.4,385.85,12472.0,82.73
0,2497.5,5688.0,4331.0,692.25,7479.0,811.45,3176.2,418.3,1034.8,1432.0,850.75,244.13,8362.5,5846.5,2433.4,674.1,1549.4,5423.0,158.06,1271.6,680.9,2220.4,2012.2,1167.3,345.1,1616.7,1813.1,1493.4,2805.0,2432.0,3580.0,1100.4,266.85,3443.0,351.4,1630.3,1675.5,3378.9,12460.0,1676.9,385.95,12476.0,82.74
0,2497.5,5687.5,4331.1,692.25,7481.5,811.4,3176.3,418.25,1035.4,1432.1,850.75,244.13,8364.5,5844.5,2433.9,674.35,1549.3,5421.0,158.1,1271.5,680.9,2220.4,2012.0,1167.1,345.1,1617.0,1813.1,1493.0,2805.5,2432.0,3578.6,1100.4,266.85,3442.8,351.5,1630.4,1676.0,3378.4,12460.0,1676.8,385.85,12473.0,82.73
